patrol,contact_no,page,date,year,latitude,longitude,type,friendly
1,1,2,44 May,1944,,,,False
1,2,2,44 May,1944,,,,False
1,3,2,44 June,1944,,,,False
1,4,2,44 June,1944,,,,False
1,5,2,44 June,1944,,,,False
1,6,22,27 June,1944,,,PBM,True
1,7,22,30 June,1944,,,PBM,True
1,8,22,12 July,1944,28.583333333333332,174.73333333333332,PBY,True
1,9,22,2 July,1944,,,PBY,True
1,10,23,7 July,1944,,,Sally,False
1,11,23,8 July,1944,,,Emily,False
1,12,23,9 July,1944,44.6,141.26666666666668,Kate,False
1,13,23,10 July,1944,40.96666666666667,140.95,,False
1,14,23,10 July,1944,,,,False
1,15,24,10 July,1944,,,,False
1,16,24,11 July,1944,,,,False
1,17,24,11 July,1944,40.93333333333333,142.06666666666666,,False
1,18,24,12 July,1944,42.03333333333333,142.06666666666666,,False
1,19,24,12 July,1944,,,,False
1,20,25,12 July,1944,,,,False
1,21,25,12 July,1944,,,,False
1,22,25,13 July,1944,,,,False
1,23,25,13 July,1944,,,,False
1,24,25,14 July,1944,,,,False
1,25,26,15 July,1944,,,Sally,False
1,26,26,19 July,1944,,,Betty,False
1,27,26,26 July,1944,,,,False
1,28,26,27 July,1944,,,,False
1,29,26,31 July,1944,,,,False
1,30,27,1 August,1944,,,Sally,False
1,31,27,5 August,1944,27.7,119.43333333333334,Betty,False
1,32,27,15 August,1944,42.483333333333334,164.75,Betty,False
1,33,27,11 August,1944,,,,False
1,34,28,13 August,1944,,,,False
1,35,28,13 August,1944,,,,False
1,36,29,9 July,1944,,,,False
1,37,43,9 July,1944,,,,False
1,38,43,26 July,1944,,,,False
2,1,2,44 August,1944,,,,False
2,2,2,44 August,1944,,,,False
2,3,2,44 August,1944,,,,False
3,1,5,7 December,1945,,,,False
3,2,5,8 December,1945,,,,False
3,3,5,9 December,1945,,,,False
3,4,6,9 December,1945,,,,False
3,5,6,10 December,1945,,,,False
3,6,6,11 December,1945,,,,False
3,7,6,12 December,1945,,,,False
3,8,7,12 December,1945,,,,False
3,9,7,13 December,1945,,,,False
3,10,7,14 December,1945,,,,False
3,11,7,15 December,1945,,,,False
3,12,8,17 December,1945,,,,False
3,13,8,16 December,1945,,,,False
3,14,8,19 December,1945,,,,False
3,15,8,20 December,1945,,,,False
3,16,8,22 December,1945,,,,False
3,17,8,23 December,1945,,,,False
3,18,9,23 December,1945,,,,False
3,19,9,24 December,1945,,,,False
3,20,9,25 December,1945,,,,False
3,21,9,26 December,1945,,,,False
3,22,9,27 December,1945,,,,False
3,23,10,27 December,1945,,,,False
3,24,10,28 December,1945,,,,False
3,25,10,29 December,1945,,,,False
3,26,10,30 December,1945,,,,False
3,27,10,31 December,1945,,,,False
3,28,10,1 January,1945,,,,False
3,29,11,1 January,1945,,,,False
3,30,11,2 January,1945,,,,False
3,31,11,4 January,1945,,,,False
3,32,11,5 January,1945,,,,False
3,33,11,6 January,1945,,,,False
3,34,13,10 January,1945,,,,False
3,35,13,11 January,1945,,,,False
3,36,13,12 January,1945,,,,False
3,37,13,13 January,1945,,,,False
3,38,14,14 January,1945,,,,False
3,39,15,14 January,1945,,,,False
3,40,15,15 January,1945,,,,False
3,41,15,16 January,1945,,,,False
3,42,15,17 January,1945,,,,False
3,43,40,24 January,1945,,,,False
3,44,40,14 January,1945,,,,False
5,1,42,19 June,1945,,,Zero,False
5,2,42,30 May,1945,,,,False
5,3,42,14 May,1945,,,,False
5,4,42,8 June,1945,,,,False
