patrol,year,contact_no,date,time,latitude,longitude,type,friendly
1,1944,1,27 June,0800,24.18,-160.74,PBM,True
1,1944,2,30 June,1337,24.858333333333334,-161.87166666666667,PBM,True
1,1944,3,12 July,0718,28.405,-177.02333333333334,PBY,True
1,1944,4,2 July,2025,28.35,178.55,PBY,True
1,1944,5,,1316,28.583333333333332,174.73333333333332,,False
1,1944,6,7 July,0940,28.4,148.53333333333333,Sally,False
1,1944,7,8 July,0626,26.433333333333334,144.6,Emily,False
1,1944,8,9 July,1055,24.916666666666668,141.26666666666668,Kate,False
1,1944,9,10 July,1117,25.55,140.96666666666667,Betty,False
1,1944,10,10 July,,25.566666666666666,140.95,Betty,False
1,1944,11,10 July,1205,25.6,140.93333333333334,Betty,False
1,1944,12,11 July,1520,26.7,142.06666666666666,,False
1,1944,13,11 July,1700,26.75,141.96666666666667,,False
1,1944,14,12 July,0843,27.083333333333332,142.03333333333333,,False
1,1944,15,12 July,1037,27.166666666666668,142.06666666666666,,False
1,1944,16,12 July,1148,27.216666666666665,142.06666666666666,,False
1,1944,17,12 July,1441,27.416666666666668,142.06666666666666,,False
1,1944,18,13 July,1630,27.383333333333333,140.61666666666667,,False
1,1944,19,13 July,1750,27.383333333333333,140.5,,False
1,1944,20,14 July,1003,27.2,141.36666666666667,,False
1,1944,21,15 July,0353,27.333333333333332,141.75,Sally,False
1,1944,22,19 July,0653,28.95,140.6,Betty,False
1,1944,23,26 July,1620,27.383333333333333,142.06666666666666,,False
1,1944,24,27 July,1708,26.775,142.68833333333333,,False
1,1944,25,31 July,1213,29.833333333333332,142.73333333333332,,False
1,1944,26,1 August,0854,29.266666666666666,140.63333333333333,Sally,False
1,1944,27,5 August,0540,27.683333333333334,142.46666666666667,Betty,False
1,1944,28,15 August,1108,27.7,142.48333333333332,Betty,False
1,1944,29,11 August,,19.433333333333334,164.75,,False
1,1944,30,,,19.316666666666666,165.13333333333333,,False
1,1944,31,13 August,0934,12.683333333333334,170.5,,False
1,1944,32,13 August,2220,10.083333333333334,170.56666666666666,,False
